campaign_id,campaign_name,objective,channel,start_date,duration_days,budget,end_date,start_date_key,end_date_key,channel_id,budget_band
CMP-001,Cross-sell Search Nov25,Cross-sell,search,2025-11-05,13,360.0,2025-11-18,20251105,20251118,1,€200-500
CMP-002,Acquisition Search Feb24,Acquisition,search,2024-02-01,30,680.0,2024-03-02,20240201,20240302,1,€500-1K
CMP-003,Acquisition Social Mar25,Acquisition,social,2025-03-05,26,260.0,2025-03-31,20250305,20250331,3,€200-500
CMP-004,Brand Search Sep25,Brand,search,2025-09-08,21,320.0,2025-09-29,20250908,20250929,1,€200-500
CMP-005,Acquisition Search Jul25,Acquisition,search,2025-07-09,16,110.0,2025-07-25,20250709,20250725,1,< €200
CMP-006,Retention Tv Feb24,Retention,tv,2024-02-08,34,640.0,2024-03-13,20240208,20240313,5,€500-1K
CMP-007,Acquisition Display Dec25,Acquisition,display,2025-12-24,28,310.0,2025-12-31,20251224,20251231,4,€200-500
CMP-008,Acquisition Search Dec24,Acquisition,search,2024-12-13,23,230.0,2025-01-05,20241213,20250105,1,€200-500
CMP-009,Retention Display May24,Retention,display,2024-05-18,14,130.0,2024-06-01,20240518,20240601,4,< €200
CMP-010,Retention Search Jul25,Retention,search,2025-07-14,11,320.0,2025-07-25,20250714,20250725,1,€200-500
CMP-011,Acquisition Display Jun25,Acquisition,display,2025-06-13,15,500.0,2025-06-28,20250613,20250628,4,€200-500
CMP-012,Retention Email Apr25,Retention,email,2025-04-05,30,230.0,2025-05-05,20250405,20250505,2,€200-500
CMP-013,Acquisition Social May25,Acquisition,social,2025-05-11,8,290.0,2025-05-19,20250511,20250519,3,€200-500
CMP-014,Retention Social Oct24,Retention,social,2024-10-23,9,550.0,2024-11-01,20241023,20241101,3,€500-1K
CMP-015,Cross-sell Search Aug25,Cross-sell,search,2025-08-13,44,120.0,2025-09-26,20250813,20250926,1,< €200
CMP-016,Cross-sell Tv Jan25,Cross-sell,tv,2025-01-26,17,780.0,2025-02-12,20250126,20250212,5,€500-1K
CMP-017,Acquisition Search Apr25,Acquisition,search,2025-04-25,11,240.0,2025-05-06,20250425,20250506,1,€200-500
CMP-018,Acquisition Tv Jun24,Acquisition,tv,2024-06-04,43,260.0,2024-07-17,20240604,20240717,5,€200-500
CMP-019,Cross-sell Search Apr25,Cross-sell,search,2025-04-22,22,1870.0,2025-05-14,20250422,20250514,1,> €1K
CMP-020,Acquisition Search Jun25,Acquisition,search,2025-06-20,7,150.0,2025-06-27,20250620,20250627,1,< €200
CMP-021,Brand Search May24,Brand,search,2024-05-03,22,250.0,2024-05-25,20240503,20240525,1,€200-500
CMP-022,Cross-sell Email Dec25,Cross-sell,email,2025-12-09,7,120.0,2025-12-16,20251209,20251216,2,< €200
CMP-023,Acquisition Social Mar24,Acquisition,social,2024-03-13,18,390.0,2024-03-31,20240313,20240331,3,€200-500
CMP-024,Cross-sell Social Jun24,Cross-sell,social,2024-06-07,42,130.0,2024-07-19,20240607,20240719,3,< €200
CMP-025,Acquisition Display Aug24,Acquisition,display,2024-08-12,37,510.0,2024-09-18,20240812,20240918,4,€500-1K
CMP-026,Acquisition Social Sep25,Acquisition,social,2025-09-06,22,470.0,2025-09-28,20250906,20250928,3,€200-500
CMP-027,Brand Social Jan24,Brand,social,2024-01-10,19,70.0,2024-01-29,20240110,20240129,3,< €200
CMP-028,Cross-sell Email Mar25,Cross-sell,email,2025-03-12,29,70.0,2025-04-10,20250312,20250410,2,< €200
CMP-029,Retention Social Sep24,Retention,social,2024-09-20,30,450.0,2024-10-20,20240920,20241020,3,€200-500
CMP-030,Cross-sell Tv Dec24,Cross-sell,tv,2024-12-12,35,1490.0,2025-01-16,20241212,20250116,5,> €1K
CMP-031,Acquisition Email Apr24,Acquisition,email,2024-04-11,27,220.0,2024-05-08,20240411,20240508,2,€200-500
CMP-032,Cross-sell Email Jun24,Cross-sell,email,2024-06-25,9,70.0,2024-07-04,20240625,20240704,2,< €200
CMP-033,Brand Email Mar24,Brand,email,2024-03-15,39,90.0,2024-04-23,20240315,20240423,2,< €200
CMP-034,Cross-sell Search Jul24,Cross-sell,search,2024-07-01,19,980.0,2024-07-20,20240701,20240720,1,€500-1K
CMP-035,Retention Social Sep25,Retention,social,2025-09-14,38,230.0,2025-10-22,20250914,20251022,3,€200-500
CMP-036,Acquisition Search Mar25,Acquisition,search,2025-03-20,37,360.0,2025-04-26,20250320,20250426,1,€200-500
CMP-037,Brand Display Oct25,Brand,display,2025-10-06,15,210.0,2025-10-21,20251006,20251021,4,€200-500
CMP-038,Acquisition Search Mar25,Acquisition,search,2025-03-18,26,480.0,2025-04-13,20250318,20250413,1,€200-500
CMP-039,Brand Search Oct25,Brand,search,2025-10-07,35,610.0,2025-11-11,20251007,20251111,1,€500-1K
CMP-040,Acquisition Search May24,Acquisition,search,2024-05-14,20,610.0,2024-06-03,20240514,20240603,1,€500-1K
CMP-041,Acquisition Email May25,Acquisition,email,2025-05-07,37,150.0,2025-06-13,20250507,20250613,2,< €200
CMP-042,Acquisition Display Aug25,Acquisition,display,2025-08-17,26,110.0,2025-09-12,20250817,20250912,4,< €200
CMP-043,Retention Tv Dec25,Retention,tv,2025-12-19,41,840.0,2025-12-31,20251219,20251231,5,€500-1K
CMP-044,Acquisition Email Jan24,Acquisition,email,2024-01-23,41,230.0,2024-03-04,20240123,20240304,2,€200-500
CMP-045,Acquisition Search Apr24,Acquisition,search,2024-04-01,43,1880.0,2024-05-14,20240401,20240514,1,> €1K
CMP-046,Brand Social Aug25,Brand,social,2025-08-11,15,450.0,2025-08-26,20250811,20250826,3,€200-500
CMP-047,Acquisition Social Sep24,Acquisition,social,2024-09-17,35,330.0,2024-10-22,20240917,20241022,3,€200-500
CMP-048,Retention Social Aug24,Retention,social,2024-08-25,35,530.0,2024-09-29,20240825,20240929,3,€500-1K
CMP-049,Retention Email Dec24,Retention,email,2024-12-06,24,150.0,2024-12-30,20241206,20241230,2,< €200
CMP-050,Retention Social Jan24,Retention,social,2024-01-15,13,650.0,2024-01-28,20240115,20240128,3,€500-1K
CMP-051,Retention Search May24,Retention,search,2024-05-14,18,470.0,2024-06-01,20240514,20240601,1,€200-500
CMP-052,Brand Search Nov25,Brand,search,2025-11-13,26,320.0,2025-12-09,20251113,20251209,1,€200-500
CMP-053,Retention Tv Jul24,Retention,tv,2024-07-14,39,1070.0,2024-08-22,20240714,20240822,5,> €1K
CMP-054,Retention Search Oct24,Retention,search,2024-10-07,41,240.0,2024-11-17,20241007,20241117,1,€200-500
CMP-055,Acquisition Email Nov24,Acquisition,email,2024-11-22,41,30.0,2025-01-02,20241122,20250102,2,< €200
CMP-056,Retention Search Nov24,Retention,search,2024-11-17,42,420.0,2024-12-29,20241117,20241229,1,€200-500
CMP-057,Acquisition Search Jul24,Acquisition,search,2024-07-06,10,300.0,2024-07-16,20240706,20240716,1,€200-500
CMP-058,Retention Tv Nov24,Retention,tv,2024-11-10,44,830.0,2024-12-24,20241110,20241224,5,€500-1K
CMP-059,Retention Search Sep24,Retention,search,2024-09-12,28,340.0,2024-10-10,20240912,20241010,1,€200-500
CMP-060,Cross-sell Email Aug25,Cross-sell,email,2025-08-03,10,100.0,2025-08-13,20250803,20250813,2,< €200
CMP-061,Retention Display Jul24,Retention,display,2024-07-23,11,260.0,2024-08-03,20240723,20240803,4,€200-500
CMP-062,Retention Search Dec25,Retention,search,2025-12-26,16,770.0,2025-12-31,20251226,20251231,1,€500-1K
CMP-063,Acquisition Search Apr25,Acquisition,search,2025-04-23,16,1600.0,2025-05-09,20250423,20250509,1,> €1K
CMP-064,Cross-sell Email Dec24,Cross-sell,email,2024-12-23,11,160.0,2025-01-03,20241223,20250103,2,< €200
CMP-065,Brand Search Feb25,Brand,search,2025-02-14,21,670.0,2025-03-07,20250214,20250307,1,€500-1K
CMP-066,Retention Search Mar24,Retention,search,2024-03-01,27,570.0,2024-03-28,20240301,20240328,1,€500-1K
CMP-067,Acquisition Social Jul25,Acquisition,social,2025-07-01,18,130.0,2025-07-19,20250701,20250719,3,< €200
CMP-068,Retention Search Feb25,Retention,search,2025-02-05,32,280.0,2025-03-09,20250205,20250309,1,€200-500
CMP-069,Acquisition Social May25,Acquisition,social,2025-05-11,34,220.0,2025-06-14,20250511,20250614,3,€200-500
CMP-070,Retention Tv Jun24,Retention,tv,2024-06-23,22,6570.0,2024-07-15,20240623,20240715,5,> €1K
CMP-071,Acquisition Search May25,Acquisition,search,2025-05-05,10,910.0,2025-05-15,20250505,20250515,1,€500-1K
CMP-072,Retention Search May24,Retention,search,2024-05-13,18,330.0,2024-05-31,20240513,20240531,1,€200-500
CMP-073,Brand Search Jan25,Brand,search,2025-01-05,30,710.0,2025-02-04,20250105,20250204,1,€500-1K
CMP-074,Acquisition Search Apr24,Acquisition,search,2024-04-24,21,940.0,2024-05-15,20240424,20240515,1,€500-1K
CMP-075,Retention Email Jan25,Retention,email,2025-01-03,29,70.0,2025-02-01,20250103,20250201,2,< €200
CMP-076,Acquisition Email Sep25,Acquisition,email,2025-09-18,39,160.0,2025-10-27,20250918,20251027,2,< €200
CMP-077,Acquisition Search Feb24,Acquisition,search,2024-02-15,36,520.0,2024-03-22,20240215,20240322,1,€500-1K
CMP-078,Retention Email Jan24,Retention,email,2024-01-24,30,70.0,2024-02-23,20240124,20240223,2,< €200
CMP-079,Cross-sell Search Sep25,Cross-sell,search,2025-09-25,10,320.0,2025-10-05,20250925,20251005,1,€200-500
CMP-080,Brand Social Nov25,Brand,social,2025-11-27,35,320.0,2025-12-31,20251127,20251231,3,€200-500
CMP-081,Acquisition Email Nov25,Acquisition,email,2025-11-12,19,90.0,2025-12-01,20251112,20251201,2,< €200
CMP-082,Acquisition Social Oct24,Acquisition,social,2024-10-19,22,300.0,2024-11-10,20241019,20241110,3,€200-500
CMP-083,Retention Social Oct25,Retention,social,2025-10-21,33,440.0,2025-11-23,20251021,20251123,3,€200-500
CMP-084,Retention Email Oct25,Retention,email,2025-10-23,38,240.0,2025-11-30,20251023,20251130,2,€200-500
CMP-085,Cross-sell Social Jun25,Cross-sell,social,2025-06-12,34,200.0,2025-07-16,20250612,20250716,3,< €200
CMP-086,Cross-sell Search Oct24,Cross-sell,search,2024-10-06,18,140.0,2024-10-24,20241006,20241024,1,< €200
CMP-087,Brand Social Nov24,Brand,social,2024-11-09,24,250.0,2024-12-03,20241109,20241203,3,€200-500
