customer_id,customer_age,customer_segment,region,preferred_device,tenure_months,loyalty_member,email_opt_in,past_purchases_12m,app_sessions_30d,rfm_recency_days,rfm_frequency,rfm_monetary,rfm_segment,churn_probability,age_group,churn_risk_band,is_buyer
C00001,42,Regular,Eastern Slovakia,desktop,20,1,1,8,11,,,,Prospect (no purchase),0.6879400069225069,36-45,Medium,False
C00002,26,Loyal,Czech Republic,tablet,28,0,1,5,5,459.0,1.0,146.99,One-off Lapsed,0.7418009726409746,26-35,Medium,True
C00003,47,Regular,Central Slovakia,desktop,14,1,1,2,1,250.0,1.0,131.68,One-off Lapsed,0.8392055903840312,46-55,High,True
C00004,49,Regular,Central Slovakia,mobile,11,0,1,3,0,,,,Prospect (no purchase),,46-55,,False
C00005,18,At-Risk,Central Slovakia,mobile,19,0,0,0,1,,,,Prospect (no purchase),,18-25,,False
C00006,22,Regular,Western Slovakia,mobile,10,0,1,1,9,,,,Prospect (no purchase),0.8677848937517556,18-25,High,False
C00007,40,At-Risk,Bratislava,desktop,53,0,0,1,6,,,,Prospect (no purchase),0.9470217397574952,36-45,High,False
C00008,34,Loyal,Central Slovakia,tablet,43,0,0,2,4,,,,Prospect (no purchase),0.800066510557927,26-35,High,False
C00009,38,New,Bratislava,desktop,28,1,1,1,9,,,,Prospect (no purchase),0.8616361015396039,36-45,High,False
C00010,28,Regular,Eastern Slovakia,mobile,39,0,1,0,17,,,,Prospect (no purchase),0.8916893312763607,26-35,High,False
C00011,49,Loyal,Western Slovakia,mobile,43,1,1,8,7,111.0,2.0,515.09,Occasional Repeat,0.4268696407089176,46-55,Low,True
C00012,47,At-Risk,Western Slovakia,desktop,14,1,1,4,8,,,,Prospect (no purchase),0.8162802048522079,46-55,High,False
C00013,39,Regular,Western Slovakia,mobile,22,0,0,0,4,,,,Prospect (no purchase),,36-45,,False
C00014,52,New,Czech Republic,desktop,63,0,1,5,2,,,,Prospect (no purchase),,46-55,,False
C00015,44,Regular,Bratislava,mobile,1,1,0,0,1,,,,Prospect (no purchase),0.8978923196090282,36-45,High,False
C00016,28,New,Bratislava,desktop,68,0,1,0,5,538.0,1.0,181.23,One-off Lapsed,0.919249208072436,26-35,High,True
C00017,42,Loyal,Bratislava,desktop,69,0,0,2,10,,,,Prospect (no purchase),0.6860010032658374,36-45,Medium,False
C00018,26,Regular,Central Slovakia,mobile,18,1,1,0,2,,,,Prospect (no purchase),0.8458145256190459,26-35,High,False
C00019,49,Loyal,Czech Republic,mobile,23,1,1,2,4,384.0,1.0,131.16,One-off Lapsed,,46-55,,True
C00020,37,Loyal,Bratislava,desktop,15,0,1,2,2,214.0,4.0,1052.94,Champions,0.6040147192370815,36-45,Medium,True
