interaction_id,campaign_id,customer_id,channel_id,date_key,device_type,impressions,clicks,conversions,revenue,spend,responded
INT-000001,CMP-027,C00019,3,20240110,mobile,5,0,0,0.0,2.8,0
INT-000002,CMP-027,C00943,3,20240110,desktop,5,1,0,0.0,2.8,0
INT-000003,CMP-027,C00937,3,20240110,mobile,7,1,0,0.0,3.92,0
INT-000004,CMP-027,C00140,3,20240110,desktop,3,0,0,0.0,1.68,0
INT-000005,CMP-027,C01700,3,20240110,mobile,3,0,0,0.0,1.68,0
INT-000006,CMP-027,C01095,3,20240111,desktop,3,1,1,90.37,1.68,1
INT-000007,CMP-027,C01852,3,20240114,desktop,5,0,0,0.0,2.8,0
INT-000008,CMP-027,C01783,3,20240114,desktop,3,0,0,0.0,1.68,0
INT-000009,CMP-027,C01990,3,20240115,mobile,6,0,0,0.0,3.36,0
INT-000010,CMP-027,C01559,3,20240115,desktop,4,1,0,0.0,2.24,0
INT-000011,CMP-027,C01554,3,20240116,desktop,7,1,0,0.0,3.92,0
INT-000012,CMP-027,C01194,3,20240116,desktop,6,0,0,0.0,3.36,0
INT-000013,CMP-027,C00571,3,20240117,tablet,5,1,0,0.0,2.8,0
INT-000014,CMP-027,C02125,3,20240117,desktop,6,1,1,131.46,3.36,1
INT-000015,CMP-027,C01391,3,20240117,mobile,3,0,0,0.0,1.68,0
INT-000016,CMP-027,C02037,3,20240117,desktop,5,0,0,0.0,2.8,0
INT-000017,CMP-027,C01899,3,20240117,desktop,6,2,0,0.0,3.36,0
INT-000018,CMP-027,C01797,3,20240120,mobile,5,0,0,0.0,2.8,0
INT-000019,CMP-027,C02101,3,20240120,desktop,3,0,0,0.0,1.68,0
INT-000020,CMP-027,C02174,3,20240121,desktop,6,0,0,0.0,3.36,0
INT-000021,CMP-027,C00410,3,20240121,mobile,3,0,0,0.0,1.68,0
INT-000022,CMP-027,C01029,3,20240122,desktop,3,0,0,0.0,1.68,0
INT-000023,CMP-027,C00311,3,20240122,mobile,4,1,1,143.91,2.24,1
INT-000024,CMP-027,C01531,3,20240123,mobile,4,0,0,0.0,2.24,0
INT-000025,CMP-027,C01426,3,20240124,mobile,3,0,0,0.0,1.68,0
INT-000026,CMP-027,C00790,3,20240125,desktop,3,1,0,0.0,1.68,0
INT-000027,CMP-027,C00274,3,20240127,mobile,4,0,0,0.0,2.24,0
INT-000028,CMP-027,C01849,3,20240128,mobile,5,0,0,0.0,2.8,0
INT-000029,CMP-113,C00549,3,20240118,desktop,11,1,0,0.0,10.6,0
INT-000030,CMP-113,C00874,3,20240118,mobile,11,1,0,0.0,10.6,0
INT-000031,CMP-113,C00017,3,20240119,desktop,10,0,0,0.0,9.63,0
INT-000032,CMP-113,C01733,3,20240120,mobile,8,0,0,0.0,7.71,0
INT-000033,CMP-113,C00440,3,20240120,mobile,16,2,0,0.0,15.41,0
INT-000034,CMP-113,C00155,3,20240120,desktop,6,0,0,0.0,5.78,0
INT-000035,CMP-113,C00121,3,20240121,desktop,12,2,1,103.19,11.56,1
INT-000036,CMP-113,C01420,3,20240123,tablet,10,2,0,0.0,9.63,0
INT-000037,CMP-113,C02023,3,20240124,tablet,8,3,1,156.95,7.71,1
INT-000038,CMP-113,C00545,3,20240124,desktop,8,0,0,0.0,7.71,0
INT-000039,CMP-113,C00890,3,20240125,mobile,14,1,0,0.0,13.49,0
INT-000040,CMP-113,C00117,3,20240126,desktop,11,1,0,0.0,10.6,0
INT-000041,CMP-113,C01395,3,20240128,tablet,11,0,0,0.0,10.6,0
INT-000042,CMP-113,C02079,3,20240128,mobile,10,1,0,0.0,9.63,0
INT-000043,CMP-113,C01676,3,20240129,mobile,9,0,0,0.0,8.67,0
INT-000044,CMP-113,C00213,3,20240201,mobile,10,0,0,0.0,9.63,0
INT-000045,CMP-113,C00974,3,20240203,mobile,12,1,1,165.09,11.56,1
INT-000046,CMP-113,C01350,3,20240203,tablet,9,0,0,0.0,8.67,0
INT-000047,CMP-113,C02183,3,20240203,mobile,9,0,0,0.0,8.67,0
INT-000048,CMP-113,C01131,3,20240204,desktop,10,0,0,0.0,9.63,0
INT-000049,CMP-113,C01396,3,20240204,mobile,10,0,0,0.0,9.63,0
INT-000050,CMP-113,C00502,3,20240204,desktop,11,1,0,0.0,10.6,0
INT-000051,CMP-113,C00508,3,20240205,tablet,6,1,0,0.0,5.78,0
INT-000052,CMP-113,C02159,3,20240207,desktop,12,0,0,0.0,11.56,0
INT-000053,CMP-113,C01580,3,20240207,desktop,10,0,0,0.0,9.63,0
INT-000054,CMP-113,C00083,3,20240209,desktop,13,0,0,0.0,12.52,0
INT-000055,CMP-113,C01886,3,20240209,mobile,12,0,0,0.0,11.56,0
INT-000056,CMP-113,C01462,3,20240210,mobile,7,0,0,0.0,6.74,0
INT-000057,CMP-113,C02166,3,20240211,mobile,3,0,0,0.0,2.89,0
INT-000058,CMP-113,C01558,3,20240213,mobile,12,0,0,0.0,11.56,0
INT-000059,CMP-113,C01646,3,20240214,mobile,9,0,0,0.0,8.67,0
