campaign_id,campaign_name,objective,channel,start_date,duration_days,budget,end_date
CMP-001,Cross-sell Search Nov25,Cross-sell,search,2025-11-05,13,360.0,2025-11-18
CMP-002,Acquisition Search Feb24,Acquisition,search,2024-02-01,30,680.0,2024-03-02
CMP-003,Acquisition Social Mar25,Acquisition,social,2025-03-05,26,260.0,2025-03-31
CMP-004,Brand Search Sep25,Brand,search,2025-09-08,21,320.0,2025-09-29
CMP-005,Acquisition Search Jul25,Acquisition,search,2025-07-09,16,110.0,2025-07-25
CMP-006,Retention Tv Feb24,Retention,tv,2024-02-08,34,640.0,2024-03-13
CMP-007,Acquisition Display Dec25,Acquisition,display,2025-12-24,28,310.0,2025-12-31
CMP-008,Acquisition Search Dec24,Acquisition,search,2024-12-13,23,230.0,2025-01-05
CMP-009,Retention Display May24,Retention,display,2024-05-18,14,130.0,2024-06-01
CMP-010,Retention Search Jul25,Retention,search,2025-07-14,11,320.0,2025-07-25
CMP-011,Acquisition Display Jun25,Acquisition,display,2025-06-13,15,500.0,2025-06-28
CMP-012,Retention Email Apr25,Retention,email,2025-04-05,30,230.0,2025-05-05
CMP-013,Acquisition Social May25,Acquisition,social,2025-05-11,8,290.0,2025-05-19
CMP-014,Retention Social Oct24,Retention,social,2024-10-23,9,550.0,2024-11-01
CMP-015,Cross-sell Search Aug25,Cross-sell,search,2025-08-13,44,120.0,2025-09-26
CMP-016,Cross-sell Tv Jan25,Cross-sell,tv,2025-01-26,17,780.0,2025-02-12
CMP-017,Acquisition Search Apr25,Acquisition,search,2025-04-25,11,240.0,2025-05-06
CMP-018,Acquisition Tv Jun24,Acquisition,tv,2024-06-04,43,260.0,2024-07-17
CMP-019,Cross-sell Search Apr25,Cross-sell,search,2025-04-22,22,1870.0,2025-05-14
CMP-020,Acquisition Search Jun25,Acquisition,search,2025-06-20,7,150.0,2025-06-27
CMP-021,Brand Search May24,Brand,search,2024-05-03,22,250.0,2024-05-25
CMP-022,Cross-sell Email Dec25,Cross-sell,email,2025-12-09,7,120.0,2025-12-16
CMP-023,Acquisition Social Mar24,Acquisition,social,2024-03-13,18,390.0,2024-03-31
CMP-024,Cross-sell Social Jun24,Cross-sell,social,2024-06-07,42,130.0,2024-07-19
CMP-025,Acquisition Display Aug24,Acquisition,display,2024-08-12,37,510.0,2024-09-18
CMP-026,Acquisition Social Sep25,Acquisition,social,2025-09-06,22,470.0,2025-09-28
CMP-027,Brand Social Jan24,Brand,social,2024-01-10,19,70.0,2024-01-29
CMP-028,Cross-sell Email Mar25,Cross-sell,email,2025-03-12,29,70.0,2025-04-10
CMP-029,Retention Social Sep24,Retention,social,2024-09-20,30,450.0,2024-10-20
CMP-030,Cross-sell Tv Dec24,Cross-sell,tv,2024-12-12,35,1490.0,2025-01-16
CMP-031,Acquisition Email Apr24,Acquisition,email,2024-04-11,27,220.0,2024-05-08
CMP-032,Cross-sell Email Jun24,Cross-sell,email,2024-06-25,9,70.0,2024-07-04
CMP-033,Brand Email Mar24,Brand,email,2024-03-15,39,90.0,2024-04-23
CMP-034,Cross-sell Search Jul24,Cross-sell,search,2024-07-01,19,980.0,2024-07-20
CMP-035,Retention Social Sep25,Retention,social,2025-09-14,38,230.0,2025-10-22
CMP-036,Acquisition Search Mar25,Acquisition,search,2025-03-20,37,360.0,2025-04-26
CMP-037,Brand Display Oct25,Brand,display,2025-10-06,15,210.0,2025-10-21
CMP-038,Acquisition Search Mar25,Acquisition,search,2025-03-18,26,480.0,2025-04-13
