customer_id,last_purchase,frequency,monetary,recency_days,segment_name
C00001,,,,,Prospect (no purchase)
C00002,2024-09-28,1.0,146.99,459.0,One-off Lapsed
C00003,2025-04-25,1.0,131.68,250.0,One-off Lapsed
C00004,,,,,Prospect (no purchase)
C00005,,,,,Prospect (no purchase)
C00006,,,,,Prospect (no purchase)
C00007,,,,,Prospect (no purchase)
C00008,,,,,Prospect (no purchase)
C00009,,,,,Prospect (no purchase)
C00010,,,,,Prospect (no purchase)
C00011,2025-09-11,2.0,515.09,111.0,Occasional Repeat
C00012,,,,,Prospect (no purchase)
C00013,,,,,Prospect (no purchase)
C00014,,,,,Prospect (no purchase)
C00015,,,,,Prospect (no purchase)
C00016,2024-07-11,1.0,181.23,538.0,One-off Lapsed
C00017,,,,,Prospect (no purchase)
C00018,,,,,Prospect (no purchase)
C00019,2024-12-12,1.0,131.16,384.0,One-off Lapsed
C00020,2025-05-31,4.0,1052.94,214.0,Champions
C00021,,,,,Prospect (no purchase)
C00022,,,,,Prospect (no purchase)
C00023,,,,,Prospect (no purchase)
C00024,2025-05-08,3.0,856.77,237.0,Champions
C00025,2024-12-14,2.0,823.9,382.0,Occasional Repeat
C00026,,,,,Prospect (no purchase)
C00027,,,,,Prospect (no purchase)
C00028,,,,,Prospect (no purchase)
C00029,2024-03-01,1.0,232.94,670.0,One-off Lapsed
C00030,,,,,Prospect (no purchase)
C00031,,,,,Prospect (no purchase)
C00032,,,,,Prospect (no purchase)
C00033,,,,,Prospect (no purchase)
C00034,,,,,Prospect (no purchase)
C00035,,,,,Prospect (no purchase)
C00036,,,,,Prospect (no purchase)
C00037,2024-05-28,1.0,146.97,582.0,One-off Lapsed
C00038,2025-02-19,2.0,482.17,315.0,Occasional Repeat
C00039,,,,,Prospect (no purchase)
C00040,,,,,Prospect (no purchase)
C00041,,,,,Prospect (no purchase)
C00042,2025-07-23,1.0,219.07,161.0,One-off Lapsed
C00043,2024-11-23,1.0,146.2,403.0,One-off Lapsed
C00044,,,,,Prospect (no purchase)
C00045,,,,,Prospect (no purchase)
C00046,2025-06-03,1.0,122.01,211.0,One-off Lapsed
C00047,2024-04-03,1.0,242.98,637.0,One-off Lapsed
C00048,2024-05-02,1.0,165.45,608.0,One-off Lapsed
C00049,2024-04-24,1.0,191.15,616.0,One-off Lapsed
C00050,,,,,Prospect (no purchase)
C00051,,,,,Prospect (no purchase)
C00052,2024-03-28,1.0,258.98,643.0,One-off Lapsed
C00053,,,,,Prospect (no purchase)
C00054,2025-11-17,1.0,366.86,44.0,One-off Lapsed
C00055,,,,,Prospect (no purchase)
C00056,,,,,Prospect (no purchase)
C00057,,,,,Prospect (no purchase)
C00058,,,,,Prospect (no purchase)
C00059,,,,,Prospect (no purchase)
C00060,,,,,Prospect (no purchase)
C00061,,,,,Prospect (no purchase)
C00062,,,,,Prospect (no purchase)
C00063,,,,,Prospect (no purchase)
C00064,,,,,Prospect (no purchase)
C00065,2024-06-24,2.0,587.36,555.0,Occasional Repeat
C00066,,,,,Prospect (no purchase)
C00067,,,,,Prospect (no purchase)
C00068,,,,,Prospect (no purchase)
C00069,,,,,Prospect (no purchase)
C00070,,,,,Prospect (no purchase)
C00071,,,,,Prospect (no purchase)
C00072,,,,,Prospect (no purchase)
C00073,,,,,Prospect (no purchase)
C00074,,,,,Prospect (no purchase)
C00075,,,,,Prospect (no purchase)
C00076,,,,,Prospect (no purchase)
C00077,2024-09-29,2.0,290.46000000000004,458.0,Occasional Repeat
C00078,,,,,Prospect (no purchase)
C00079,2025-05-23,2.0,368.83,222.0,Occasional Repeat
C00080,,,,,Prospect (no purchase)
C00081,2024-04-11,2.0,297.12,629.0,Occasional Repeat
C00082,,,,,Prospect (no purchase)
C00083,,,,,Prospect (no purchase)
C00084,,,,,Prospect (no purchase)
C00085,,,,,Prospect (no purchase)
C00086,2025-05-12,4.0,1649.01,233.0,Champions
C00087,,,,,Prospect (no purchase)
C00088,,,,,Prospect (no purchase)
C00089,2025-11-13,1.0,166.25,48.0,One-off Lapsed
