customer_id,customer_age,customer_segment,region,preferred_device,tenure_months,loyalty_member,email_opt_in,past_purchases_12m,app_sessions_30d
C00001,42,Regular,Eastern Slovakia,desktop,20,1,1,8,11
C00002,26,Loyal,Czech Republic,tablet,28,0,1,5,5
C00003,47,Regular,Central Slovakia,desktop,14,1,1,2,1
C00004,49,Regular,Central Slovakia,mobile,11,0,1,3,0
C00005,18,At-Risk,Central Slovakia,mobile,19,0,0,0,1
C00006,22,Regular,Western Slovakia,mobile,10,0,1,1,9
C00007,40,At-Risk,Bratislava,desktop,53,0,0,1,6
C00008,34,Loyal,Central Slovakia,tablet,43,0,0,2,4
C00009,38,New,Bratislava,desktop,28,1,1,1,9
C00010,28,Regular,Eastern Slovakia,mobile,39,0,1,0,17
C00011,49,Loyal,Western Slovakia,mobile,43,1,1,8,7
C00012,47,At-Risk,Western Slovakia,desktop,14,1,1,4,8
C00013,39,Regular,Western Slovakia,mobile,22,0,0,0,4
C00014,52,New,Czech Republic,desktop,63,0,1,5,2
C00015,44,Regular,Bratislava,mobile,1,1,0,0,1
C00016,28,New,Bratislava,desktop,68,0,1,0,5
C00017,42,Loyal,Bratislava,desktop,69,0,0,2,10
C00018,26,Regular,Central Slovakia,mobile,18,1,1,0,2
C00019,49,Loyal,Czech Republic,mobile,23,1,1,2,4
C00020,37,Loyal,Bratislava,desktop,15,0,1,2,2
C00021,36,Regular,Czech Republic,mobile,40,0,1,0,4
C00022,30,Regular,Bratislava,mobile,16,1,0,0,1
C00023,53,Loyal,Central Slovakia,mobile,57,1,1,0,3
C00024,36,Loyal,Bratislava,mobile,28,0,1,1,2
C00025,33,Loyal,Western Slovakia,desktop,69,1,1,4,7
C00026,34,New,Central Slovakia,mobile,61,1,0,0,1
C00027,44,Regular,Central Slovakia,mobile,29,0,0,2,6
C00028,42,New,Bratislava,desktop,43,0,1,2,11
C00029,43,Loyal,Eastern Slovakia,mobile,2,1,0,0,4
C00030,43,Regular,Czech Republic,mobile,5,0,0,1,9
C00031,64,Regular,Western Slovakia,desktop,36,0,0,2,4
C00032,33,New,Central Slovakia,desktop,34,0,1,1,2
C00033,32,Regular,Eastern Slovakia,desktop,29,0,1,0,2
C00034,28,Loyal,Bratislava,desktop,7,0,1,2,1
C00035,45,New,Eastern Slovakia,mobile,60,0,1,4,4
C00036,52,New,Bratislava,mobile,29,0,1,2,3
C00037,37,At-Risk,Eastern Slovakia,tablet,34,1,0,6,6
C00038,28,Loyal,Bratislava,desktop,29,0,1,3,13
C00039,28,New,Bratislava,mobile,36,0,0,0,6
C00040,46,New,Central Slovakia,mobile,47,1,1,1,6
C00041,47,At-Risk,Central Slovakia,mobile,55,0,1,2,2
C00042,45,Loyal,Eastern Slovakia,mobile,40,0,1,8,3
C00043,30,Regular,Czech Republic,desktop,12,1,0,2,2
