interaction_id,campaign_id,channel,start_date,end_date,touch_date,budget,impressions,clicks,conversions,revenue,customer_id,customer_age,customer_segment,region,device_type
INT-000001,CMP-027,social,2024-01-10,2024-01-29,2024-01-10,2.8,5,0,0,0.0,C00019,49,Loyal,Czech Republic,mobile
INT-000002,CMP-027,social,2024-01-10,2024-01-29,2024-01-10,2.8,5,1,0,0.0,C00943,44,Regular,Czech Republic,desktop
INT-000003,CMP-027,social,2024-01-10,2024-01-29,2024-01-10,3.92,7,1,0,0.0,C00937,24,Loyal,Bratislava,mobile
INT-000004,CMP-027,social,2024-01-10,2024-01-29,2024-01-10,1.68,3,0,0,0.0,C00140,73,New,Eastern Slovakia,desktop
INT-000005,CMP-027,social,2024-01-10,2024-01-29,2024-01-10,1.68,3,0,0,0.0,C01700,40,New,Eastern Slovakia,mobile
INT-000006,CMP-027,social,2024-01-10,2024-01-29,2024-01-11,1.68,3,1,1,90.37,C01095,30,Regular,Central Slovakia,desktop
INT-000007,CMP-027,social,2024-01-10,2024-01-29,2024-01-14,2.8,5,0,0,0.0,C01852,41,Regular,Western Slovakia,desktop
INT-000008,CMP-027,social,2024-01-10,2024-01-29,2024-01-14,1.68,3,0,0,0.0,C01783,18,Regular,Eastern Slovakia,desktop
INT-000009,CMP-027,social,2024-01-10,2024-01-29,2024-01-15,3.36,6,0,0,0.0,C01990,22,Regular,Central Slovakia,mobile
INT-000010,CMP-027,social,2024-01-10,2024-01-29,2024-01-15,2.24,4,1,0,0.0,C01559,48,At-Risk,Eastern Slovakia,desktop
INT-000011,CMP-027,social,2024-01-10,2024-01-29,2024-01-16,3.92,7,1,0,0.0,C01554,34,New,Bratislava,desktop
INT-000012,CMP-027,social,2024-01-10,2024-01-29,2024-01-16,3.36,6,0,0,0.0,C01194,47,Regular,Western Slovakia,desktop
INT-000013,CMP-027,social,2024-01-10,2024-01-29,2024-01-17,2.8,5,1,0,0.0,C00571,21,New,Czech Republic,tablet
INT-000014,CMP-027,social,2024-01-10,2024-01-29,2024-01-17,3.36,6,1,1,131.46,C02125,38,Regular,Western Slovakia,desktop
INT-000015,CMP-027,social,2024-01-10,2024-01-29,2024-01-17,1.68,3,0,0,0.0,C01391,30,New,Western Slovakia,mobile
INT-000016,CMP-027,social,2024-01-10,2024-01-29,2024-01-17,2.8,5,0,0,0.0,C02037,32,At-Risk,Bratislava,desktop
INT-000017,CMP-027,social,2024-01-10,2024-01-29,2024-01-17,3.36,6,2,0,0.0,C01899,33,Regular,Western Slovakia,desktop
INT-000018,CMP-027,social,2024-01-10,2024-01-29,2024-01-20,2.8,5,0,0,0.0,C01797,34,New,Czech Republic,mobile
INT-000019,CMP-027,social,2024-01-10,2024-01-29,2024-01-20,1.68,3,0,0,0.0,C02101,41,New,Eastern Slovakia,desktop
INT-000020,CMP-027,social,2024-01-10,2024-01-29,2024-01-21,3.36,6,0,0,0.0,C02174,23,New,Western Slovakia,desktop
INT-000021,CMP-027,social,2024-01-10,2024-01-29,2024-01-21,1.68,3,0,0,0.0,C00410,22,New,Bratislava,mobile
INT-000022,CMP-027,social,2024-01-10,2024-01-29,2024-01-22,1.68,3,0,0,0.0,C01029,38,Regular,Central Slovakia,desktop
INT-000023,CMP-027,social,2024-01-10,2024-01-29,2024-01-22,2.24,4,1,1,143.91,C00311,52,Regular,Western Slovakia,mobile
INT-000024,CMP-027,social,2024-01-10,2024-01-29,2024-01-23,2.24,4,0,0,0.0,C01531,45,New,Western Slovakia,mobile
INT-000025,CMP-027,social,2024-01-10,2024-01-29,2024-01-24,1.68,3,0,0,0.0,C01426,27,Loyal,Western Slovakia,mobile
INT-000026,CMP-027,social,2024-01-10,2024-01-29,2024-01-25,1.68,3,1,0,0.0,C00790,36,Regular,Central Slovakia,desktop
INT-000027,CMP-027,social,2024-01-10,2024-01-29,2024-01-27,2.24,4,0,0,0.0,C00274,63,Regular,Central Slovakia,mobile
INT-000028,CMP-027,social,2024-01-10,2024-01-29,2024-01-28,2.8,5,0,0,0.0,C01849,33,Loyal,Bratislava,mobile
