campaign_id,impressions,clicks,conversions,revenue,spend,CTR,CVR,response_rate,CPC,CAC,ROAS,AOV,reached_customers,channel,objective,start_date,spend_per_customer
CMP-001,149.0,21.0,10.0,3550.3599999999997,359.98,0.14093959731543623,0.47619047619047616,0.1956521739130435,17.14190476190476,35.998000000000005,9.862659036613143,355.03599999999994,46.0,search,Cross-sell,2025-11-05,7.825652173913044
CMP-002,257.0,35.0,9.0,2027.6599999999999,680.0,0.13618677042801555,0.2571428571428571,0.14754098360655737,19.428571428571427,75.55555555555556,2.9818529411764705,225.29555555555555,61.0,search,Acquisition,2024-02-01,11.147540983606557
CMP-003,292.0,17.0,3.0,679.64,259.95,0.05821917808219178,0.17647058823529413,0.1,15.291176470588235,86.64999999999999,2.6145027889978842,226.54666666666665,30.0,social,Acquisition,2025-03-05,8.665
CMP-004,180.0,28.0,11.0,2694.51,320.06999999999994,0.15555555555555556,0.39285714285714285,0.16393442622950818,11.431071428571427,29.09727272727272,8.418502202643174,244.95545454545456,61.0,search,Brand,2025-09-08,5.247049180327868
CMP-005,52.0,6.0,4.0,923.66,110.02000000000002,0.11538461538461539,0.6666666666666666,0.2222222222222222,18.33666666666667,27.505000000000006,8.395382657698597,230.915,18.0,search,Acquisition,2025-07-09,6.112222222222224
CMP-006,496.0,2.0,13.0,4713.61,639.8600000000001,0.004032258064516129,6.5,0.24,319.93000000000006,49.22000000000001,7.366627074672583,362.5853846153846,50.0,tv,Retention,2024-02-08,12.797200000000002
CMP-007,866.0,13.0,1.0,131.12,310.04999999999995,0.015011547344110854,0.07692307692307693,0.010101010101010102,23.849999999999998,310.04999999999995,0.4228995323334947,131.12,99.0,display,Acquisition,2025-12-24,3.1318181818181814
CMP-008,116.0,17.0,9.0,1822.8400000000001,230.04,0.14655172413793102,0.5294117647058824,0.21428571428571427,13.531764705882352,25.56,7.924013215093028,202.5377777777778,42.0,search,Acquisition,2024-12-13,5.477142857142857
CMP-009,341.0,10.0,2.0,269.43,129.97000000000003,0.02932551319648094,0.2,0.07142857142857142,12.997000000000003,64.98500000000001,2.073016850042317,134.715,28.0,display,Retention,2024-05-18,4.6417857142857155
CMP-010,128.0,10.0,4.0,1117.11,320.0,0.078125,0.4,0.13636363636363635,32.0,80.0,3.4909687499999995,279.2775,22.0,search,Retention,2025-07-14,14.545454545454545
CMP-011,1065.0,8.0,0.0,0.0,499.96,0.007511737089201878,0.0,0.0,62.495,,0.0,,59.0,display,Acquisition,2025-06-13,8.473898305084745
CMP-012,281.0,20.0,8.0,1563.7399999999998,230.05,0.0711743772241993,0.4,0.10126582278481013,11.502500000000001,28.75625,6.797391871332318,195.46749999999997,79.0,email,Retention,2025-04-05,2.912025316455696
CMP-013,351.0,19.0,2.0,294.35,289.98999999999995,0.05413105413105413,0.10526315789473684,0.043478260869565216,15.262631578947365,144.99499999999998,1.0150350012069385,147.175,46.0,social,Acquisition,2025-05-11,6.304130434782608
CMP-014,521.0,17.0,5.0,758.6200000000001,549.99,0.03262955854126679,0.29411764705882354,0.10810810810810811,32.35235294117647,109.998,1.3793341697121768,151.72400000000002,37.0,social,Retention,2024-10-23,14.864594594594594
CMP-015,61.0,8.0,3.0,709.77,119.99000000000001,0.13114754098360656,0.375,0.1875,14.998750000000001,39.99666666666667,5.915242936911409,236.59,16.0,search,Cross-sell,2025-08-13,7.499375000000001
CMP-016,574.0,0.0,15.0,5121.98,780.01,0.0,,0.27450980392156865,,52.00066666666667,6.566556839014884,341.4653333333333,51.0,tv,Cross-sell,2025-01-26,15.294313725490197
CMP-017,102.0,8.0,3.0,594.4100000000001,240.0,0.0784313725490196,0.375,0.09375,30.0,80.0,2.4767083333333337,198.13666666666668,32.0,search,Acquisition,2025-04-25,7.5
CMP-018,221.0,0.0,2.0,324.20000000000005,260.01,0.0,,0.06060606060606061,,130.005,1.2468751201876853,162.10000000000002,33.0,tv,Acquisition,2024-06-04,7.879090909090909
CMP-019,662.0,74.0,31.0,8287.97,1869.8400000000001,0.11178247734138973,0.4189189189189189,0.23478260869565218,25.26810810810811,60.31741935483871,4.432448765669789,267.3538709677419,115.0,search,Cross-sell,2025-04-22,16.259478260869567
CMP-020,68.0,2.0,0.0,0.0,149.99999999999997,0.029411764705882353,0.0,0.0,74.99999999999999,,0.0,,18.0,search,Acquisition,2025-06-20,8.333333333333332
CMP-021,94.0,10.0,2.0,490.5,250.04000000000002,0.10638297872340426,0.2,0.10526315789473684,25.004,125.02000000000001,1.9616861302191648,245.25,19.0,search,Brand,2024-05-03,13.160000000000002
CMP-022,170.0,9.0,4.0,899.73,119.98999999999998,0.052941176470588235,0.4444444444444444,0.07407407407407407,13.33222222222222,29.997499999999995,7.498374864572049,224.9325,54.0,email,Cross-sell,2025-12-09,2.222037037037037
CMP-023,392.0,19.0,3.0,411.54999999999995,389.9599999999999,0.04846938775510204,0.15789473684210525,0.07894736842105263,20.524210526315784,129.98666666666665,1.0553646527849012,137.1833333333333,38.0,social,Acquisition,2024-03-13,10.262105263157892
CMP-024,178.0,8.0,2.0,350.6,129.94,0.0449438202247191,0.25,0.05555555555555555,16.2425,64.97,2.6981683854086502,175.3,36.0,social,Cross-sell,2024-06-07,3.6094444444444442
CMP-025,1032.0,12.0,2.0,253.15,510.02000000000004,0.011627906976744186,0.16666666666666666,0.03636363636363636,42.50166666666667,255.01000000000002,0.49635308419277674,126.575,55.0,display,Acquisition,2024-08-12,9.273090909090909
CMP-026,511.0,29.0,4.0,620.9100000000001,470.12,0.05675146771037182,0.13793103448275862,0.07272727272727272,16.21103448275862,117.53,1.320747894154684,155.22750000000002,55.0,social,Acquisition,2025-09-06,8.547636363636364
CMP-027,125.0,11.0,3.0,365.74,70.0,0.088,0.2727272727272727,0.10714285714285714,6.363636363636363,23.333333333333332,5.224857142857143,121.91333333333334,28.0,social,Brand,2024-01-10,2.5
