,mean_abs_shap
touches,0.2881469231655169
customer_segment_Loyal,0.2666208234114127
recency_days,0.22443818167889298
customer_segment_At-Risk,0.22305418498477603
impressions,0.19590814493233677
past_purchases_12m,0.1827535588438598
desktop_share,0.1550957387339028
loyalty_member,0.15296967048079899
email_opt_in,0.11416636126515899
app_sessions_30d,0.08152788563418781
customer_segment_New,0.07358400217993318
clicks,0.06536714312323319
was_buyer_2024,0.06301383513560237
region_Western Slovakia,0.05365056715624908
revenue,0.049626306269978014
region_Eastern Slovakia,0.038840979135138634
search_share,0.03362639255292089
days_since_last_touch,0.02308000121931965
ctr,0.0228442673465159
region_Bratislava,0.01836220689241451
region_Czech Republic,0.014517635536751724
region_Central Slovakia,0.013714387163253612
tenure_months,0.013681579445163404
customer_segment_Regular,0.013179091681709151
email_share,0.0031731663020054335
customer_age,0.0020641742066846063
purchases,0.0008670814594374374
