customer_id,touches,purchases,revenue,clicks,impressions,email_share,search_share,desktop_share,recency_days,days_since_last_touch,ctr,was_buyer_2024,customer_age,customer_segment,region,tenure_months,loyalty_member,email_opt_in,past_purchases_12m,app_sessions_30d,churned,churn_probability
C00664,2.0,1.0,220.46,1.0,15.0,0.5,0.0,1.0,277.0,61.0,0.06666666666666667,1.0,34,Regular,Czech Republic,8,1,1,1,8,1,0.8007986670360877
C01545,2.0,0.0,0.0,0.0,17.0,0.0,0.0,1.0,999.0,175.0,0.0,0.0,54,Regular,Central Slovakia,28,0,0,0,22,0,0.8051634663406066
C02154,2.0,0.0,0.0,0.0,11.0,0.0,0.5,0.5,999.0,188.0,0.0,0.0,25,New,Bratislava,48,0,0,0,1,1,0.9110758215651547
C00614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,43,New,Bratislava,33,0,1,0,2,1,0.9214570477247493
C01669,4.0,0.0,0.0,1.0,14.0,0.25,0.5,0.25,999.0,57.0,0.07142857142857142,0.0,41,Regular,Eastern Slovakia,43,0,1,2,2,0,0.7736011964109093
C00318,2.0,0.0,0.0,0.0,12.0,0.0,0.5,0.0,999.0,157.0,0.0,0.0,30,New,Central Slovakia,50,0,0,2,13,1,0.8737455204684509
C00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0,0.0,0.0,0.0,42,Regular,Eastern Slovakia,20,1,1,8,11,1,0.6879400069225069
C00168,2.0,1.0,267.47,0.0,11.0,0.0,0.0,0.0,187.0,115.0,0.0,1.0,43,Regular,Central Slovakia,69,1,1,0,8,1,0.8553667579378198
C00722,3.0,0.0,0.0,1.0,28.0,0.0,0.0,0.3333333333333333,999.0,59.0,0.03571428571428571,0.0,52,Regular,Central Slovakia,68,0,0,3,31,0,0.724556162257638
C00267,2.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,999.0,176.0,0.0,0.0,40,New,Western Slovakia,67,0,0,1,7,1,0.8852551155657465
C00730,4.0,0.0,0.0,0.0,16.0,0.25,0.5,0.0,999.0,76.0,0.0,0.0,25,Loyal,Central Slovakia,1,0,1,0,1,1,0.7087972843506052
C00840,3.0,0.0,0.0,2.0,16.0,0.3333333333333333,0.0,0.0,999.0,72.0,0.125,0.0,34,At-Risk,Central Slovakia,62,0,1,3,1,1,0.9054846559531144
C01449,3.0,0.0,0.0,1.0,20.0,0.0,0.3333333333333333,0.0,999.0,92.0,0.05,0.0,34,New,Central Slovakia,53,0,1,0,2,0,0.8816739672371816
C00587,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,999.0,175.0,0.0,0.0,24,Regular,Eastern Slovakia,4,0,0,2,10,1,0.8937785541740635
C00164,3.0,1.0,92.21,3.0,25.0,0.0,0.0,0.3333333333333333,99.0,99.0,0.12,1.0,28,Regular,Western Slovakia,20,1,1,2,2,0,0.8098548902095498
