decile,customers,responders,rate,cum_responders_pct,lift
1,163,59,0.3619631901840491,32.065217391304344,3.1986529741264342
2,163,30,0.18404907975460122,48.369565217391305,1.6264337156575086
3,162,25,0.15432098765432098,61.95652173913043,1.3637278582930756
4,163,18,0.11042944785276074,71.73913043478261,0.9758602293945052
5,162,15,0.09259259259259259,79.8913043478261,0.8182367149758454
6,163,11,0.06748466257668712,85.86956521739131,0.5963590290744198
7,162,12,0.07407407407407407,92.3913043478261,0.6545893719806763
8,163,6,0.03680981595092025,95.65217391304348,0.3252867431315018
9,162,6,0.037037037037037035,98.91304347826086,0.3272946859903382
10,163,2,0.012269938650306749,100.0,0.10842891437716726
