,mean_abs_shap
spend_per_touch,0.05908342631357657
channel_search,0.04735602042202635
customer_segment_Loyal,0.041250449753200386
past_purchases_12m,0.03128650905376907
app_sessions_30d,0.027914736670121117
device_type_desktop,0.01980863383979067
channel_social,0.01828505303246096
tenure_months,0.01820154934678921
days_into_campaign,0.01700543374939239
channel_display,0.01589484182690611
month,0.015856640013441413
customer_age,0.014904050303501584
impressions,0.013913762119781806
loyalty_member,0.013171958451201473
device_type_mobile,0.012488261607200842
prior_touches,0.010493350564831827
customer_segment_At-Risk,0.00949558521241956
customer_segment_New,0.009068199203185348
objective_Acquisition,0.0069120981226805265
email_opt_in,0.006467078934508788
prior_revenue,0.004676142523463425
customer_segment_Regular,0.003920804259862939
objective_Retention,0.0034840709578148874
objective_Cross-sell,0.0030780114466211904
region_Bratislava,0.002968082292077741
channel_email,0.0029405774760584663
channel_tv,0.0024811520260177903
prior_conversions,0.0024629936208378886
region_Eastern Slovakia,0.0018922275820317301
region_Western Slovakia,0.0018242589554796412
objective_Brand,0.0016674192295900588
region_Central Slovakia,0.0014809135232236711
device_type_tablet,0.0010639959129523965
region_Czech Republic,0.0009824797658550075
